add-id-m, 1, 10, 4, 4592359, 459235
add-id-s, 1, 10, 4, 38823, 3882
add-id-m, 1, 20, 4, 51350, 2567
add-id-s, 1, 20, 4, 49577, 2478
add-id-m, 1, 40, 4, 79846, 1996
add-id-s, 1, 40, 4, 1183469, 29586
add-id-m, 1, 80, 4, 754551, 9431
add-id-s, 1, 80, 4, 1185101, 14813
add-id-m, 4, 10, 4, 2760171, 69004
add-id-s, 4, 10, 4, 172842, 4321
add-id-m, 4, 20, 4, 216728, 2709
add-id-s, 4, 20, 4, 1577137, 19714
add-id-m, 4, 40, 4, 380578, 2378
add-id-s, 4, 40, 4, 3288736, 20554
add-id-m, 4, 80, 4, 726734, 2271
add-id-s, 4, 80, 4, 2356460, 7363
add-id-m, 8, 10, 4, 2520228, 31502
add-id-s, 8, 10, 4, 366342, 4579
add-id-m, 8, 20, 4, 1458512, 9115
add-id-s, 8, 20, 4, 1630115, 10188
add-id-m, 8, 40, 4, 2514785, 7858
add-id-s, 8, 40, 4, 2923205, 9135
add-id-m, 8, 80, 4, 6016527, 9400
add-id-s, 8, 80, 4, 5742183, 8972
add-id-m, 12, 10, 4, 2811609, 23430
add-id-s, 12, 10, 4, 901919, 7515
add-id-m, 12, 20, 4, 2714056, 11308
add-id-s, 12, 20, 4, 3181675, 13256
add-id-m, 12, 40, 4, 7110864, 14814
add-id-s, 12, 40, 4, 7034047, 14654
add-id-m, 12, 80, 4, 15319742, 15958
add-id-s, 12, 80, 4, 16792898, 17492
add-id-m, 16, 10, 4, 3651866, 22824
add-id-s, 16, 10, 4, 2712079, 16950
add-id-m, 16, 20, 4, 5441060, 17003
add-id-s, 16, 20, 4, 4962243, 15507
add-id-m, 16, 40, 4, 11340443, 17719
add-id-s, 16, 40, 4, 13341205, 20845
add-id-m, 16, 80, 4, 22926140, 17911
add-id-s, 16, 80, 4, 32669941, 25523
add-id-m, 24, 10, 4, 3914866, 16311
add-id-s, 24, 10, 4, 2042634, 8510
add-id-m, 24, 20, 4, 10204388, 21259
add-id-s, 24, 20, 4, 9260808, 19293
add-id-m, 24, 40, 4, 29245075, 30463
add-id-s, 24, 40, 4, 76748192, 79946
add-id-m, 24, 80, 4, 65323778, 34022
add-id-s, 24, 80, 4, 76024413, 39596
